Name,Output,Client Type,Client
"Convenient, affordable disposal of garbage",Garbage Collected (tonne),Beneficial,Property Occupant
"Convenient, affordable disposal of household garbage",Curbside Garbage Collected (tonne),Beneficial,Household Occupant
"Convenient, affordable disposal of multi-residential garbage",Multi-Residential Garbage Collected (tonne),Beneficial,Apartment Occupant
"Convenient, affordable disposal of retail garbage",Curbside Retail Garbage Collected (tonne),Beneficial,Strip Retail Occupant (Tenant)
"Convenient, affordable disposal of recycled material",Recycled Material Collected (tonne),Beneficial,Property Occupant
Diversion of recyclable materials from waste stream,Recycled Material Collected (tonne),Beneficial,Property Occupant
Public Health,Household Recycled Material Collected (tonne),Beneficial,Household Occupant
Environmental Protection,Household Recycled Material Collected (tonne),Beneficial,Household Occupant
Environmental Protection,Household Recycled Paper Product Collected (tonne),Beneficial,Household Occupant
Environmental Protection,Household Recycled Glass / Metal Products Collected (tonne),Beneficial,Household Occupant
Public Health,Household Recycled Organic Material Collected (tonne),Beneficial,Household Occupant
Environmental Protection,Household Recycled Organic Material Collected (tonne),Beneficial,Household Occupant
Environmental Protection,Household Recycled White Goods Collected (tonne),Beneficial,Household Occupant
Environmental Protection,Household Recycled Yard Waste Collected (tonne),Beneficial,Household Occupant
Environmental Protection,Multi-Residential Recycled Material Collected (tonne),Beneficial,Apartment Occupant (Tenant)
Environmental Protection,Multi-Residential Recycled Paper Product Collected (tonne),Beneficial,Apartment Occupant (Tenant)
Public Health,Multi-Residential Recycled Organic Material Collected (tonne),Beneficial,Apartment Occupant (Tenant)
Environmental Protection,Multi-Residential Recycled Organic Material Collected (tonne),Beneficial,Apartment Occupant (Tenant)
Environmental Protection,Multi-Residential Recycled White Goods Collected (tonne),Beneficial,Apartment Occupant (Tenant)
Environmental Protection,Curbside Retail Recycled Material Collected (tonne),Beneficial,Strip Retail Occupant (Tenant)
Safe building to use / occupy,Building Permit Issued,Beneficial,Building Occupant / User
Safe building to use / occupy,Building Construction Permit Issued,Beneficial,Building Occupant / User
Safe site for demolition,Building Demolition Permit Issued,Beneficial,Adjacent Property Owner
Safe building to use / occupy,Building Alteration Permit Issued,Beneficial,Building Occupant / User
Safe sign,Sign Permit Issued,Beneficial,Adjacent Property Owner
Safe building to use / occupy,Property Standards By-Law Enforced (Compliance),Beneficial,"Building Occupant / UserAdjacent Property Owner"
Quieter neighbourhood,Noise By-Law Enforced (Compliance),Beneficial,Adjacent Property Owner
Impartial intervention in disputes about the boundary  of property,Fence By-Law Enforced (Compliance),Beneficial,Adjacent Property Owner
Healthier neighbourhood free from pests,Pest Control By-Law Enforced (Compliance),Beneficial,Adjacent Property Owner
Community Development,Development Approved,Beneficial,Adjacent Property Owner
Community Development,Site Plan Approved,Beneficial,Adjacent Property Owner
Community Development,Rezoning Approved,Beneficial,Adjacent Property Owner
Community Development,Official Plan Amendment Approved,Beneficial,Adjacent Property Owner
Community Development,Subdivision Approved,Beneficial,Adjacent Property Owner
Community Development,Condominium Approved,Beneficial,Adjacent Property Owner
Convenient access to destination,Parking Violation,Beneficial,Parking Patron
Compliance with applicable business regulations,Business Licence Issued,Beneficial,Business Patron
Compliance with applicable business establishment regulations,Business Establishment Licence Issued,Beneficial,Business Establishment Patron
Compliance with applicable adult entertainment establishment regulations,Adult Entertainment Establishment Licence Issued,Beneficial,Adult Entertainment Establishment Patron
Compliance with applicable auto body repair shop regulations,Auto Body Repair Shop Licence Issued,Beneficial,Auto Body Repair Shop Patron
Compliance with applicable adult entertainment establishment regulations,Adult Entertainment Establishment Licence Issued,Beneficial,Adult Entertainment Establishment Patron
Compliance with applicable auto body repair shop regulations,Auto Body Repair Shop Licence Issued,Beneficial,Auto Body Repair Shop Patron
Compliance with applicable adult entertainment establishment regulations,Adult Entertainment Establishment Licence Issued,Beneficial,Adult Entertainment Establishment Patron
Compliance with applicable auto body repair shop regulations,Auto Body Repair Shop Licence Issued,Beneficial,Auto Body Repair Shop Patron
Compliance with applicable adult entertainment establishment regulations,Adult Entertainment Establishment Licence Issued,Beneficial,Adult Entertainment Establishment Patron
Compliance with applicable auto body repair shop regulations,Auto Body Repair Shop Licence Issued,Beneficial,Auto Body Repair Shop Patron
Compliance with applicable auto body repair shop regulations,Auto Body Repair Shop Licence Issued,Beneficial,Auto Body Repair Shop Patron
Compliance with applicable adult entertainment establishment regulations,Adult Entertainment Establishment Licence Issued,Beneficial,Adult Entertainment Establishment Patron
