Name,Output,Client Type,Client
"Convenient, affordable disposal of garbage",Garbage Collected (tonne),Direct,Property Owner
"Convenient, affordable disposal of household garbage",Curbside Garbage Collected (tonne),Direct,Household Owner
"Convenient, affordable disposal of multi-residential garbage",Multi-Residential Garbage Collected (tonne),Direct,Apartment Owner (Landlord)
"Convenient, affordable disposal of retail garbage",Curbside Retail Garbage Collected (tonne),Direct,Strip Retail Establishment
"Convenient, affordable disposal of recycled material",Recycled Material Collected (tonne),Direct,Property Owner
Diversion of recyclable materials from waste stream,Recycled Material Collected (tonne),Direct,Property Owner
"Convenient, affordable disposal of household recycled material",Household Recycled Material Collected (tonne),Direct,Household Owner
Diversion of household recyclable materials from waste stream,Household Recycled Material Collected (tonne),Direct,Household Owner
"Convenient, affordable disposal of household recycled paper goods",Household Recycled Paper Product Collected (tonne),Direct,Household Owner
Diversion of paper products from waste stream,Household Recycled Paper Product Collected (tonne),Direct,Household Owner
"Convenient, affordable disposal of household glass / metal recycled material",Household Recycled Glass / Metal Products Collected (tonne),Direct,Household Owner
Diversion of household glass / metal products from waste stream,Household Recycled Glass / Metal Products Collected (tonne),Direct,Household Owner
"Convenient, affordable disposal of household organic material",Household Recycled Organic Material Collected (tonne),Direct,Household Owner
Diversion of household organic materials from waste stream,Household Recycled Organic Material Collected (tonne),Direct,Household Owner
"Convenient, affordable disposal of household white goods material",Household Recycled White Goods Collected (tonne),Direct,Household Owner
Diversion of household white goods from waste stream,Household Recycled White Goods Collected (tonne),Direct,Household Owner
"Convenient, affordable disposal of household yard waste material",Household Recycled Yard Waste Collected (tonne),Direct,Household Owner
Diversion of household \yard waste from waste stream,Household Recycled Yard Waste Collected (tonne),Direct,Household Owner
"Convenient, affordable disposal of multi-residential recycled material",Multi-Residential Recycled Material Collected (tonne),Direct,Apartment Owner (Landlord)
Diversion of multi-residential recyclable materials from waste stream,Multi-Residential Recycled Material Collected (tonne),Direct,Apartment Owner (Landlord)
"Convenient, affordable disposal of multi-residential recycled paper goods",Multi-Residential Recycled Paper Product Collected (tonne),Direct,Apartment Owner (Landlord)
Diversion of multi-residential paper products from waste stream,Multi-Residential Recycled Paper Product Collected (tonne),Direct,Apartment Owner (Landlord)
"Convenient, affordable disposal of multi-residential glass / metal recycled material",Multi-Residential Recycled Organic Material Collected (tonne),Direct,Apartment Owner (Landlord)
Diversion of multi-residential glass / metal products from waste stream,Multi-Residential Recycled Organic Material Collected (tonne),Direct,Apartment Owner (Landlord)
"Convenient, affordable disposal of multi-residential organic material",Multi-Residential Recycled White Goods Collected (tonne),Direct,Apartment Owner (Landlord)
Diversion of multi-residential organic materials from waste stream,Multi-Residential Recycled White Goods Collected (tonne),Direct,Apartment Owner (Landlord)
"Convenient, affordable disposal of curbside retail recycled material",Curbside Retail Recycled Material Collected (tonne),Direct,Strip Retail Establishment
Diversion of curbside retail recyclable materials from waste stream,Curbside Retail Recycled Material Collected (tonne),Direct,Strip Retail Establishment
Affordable disposal of garbage,Garbage Dropped Off (tonne),Direct,Waste Producer
Affordable disposal of residual waste,Residual Waste Dropped Off (tonne),Direct,Residual Waste Producer
Affordable disposal of recycled waste,Recycled Waste Dropped Off (tonne),Direct,Recycled Waste Producer
"Convenient, affordable disposal of garbage",Garbage Disposed (tonne),Direct,Waste Hauler
"Convenient, affordable composting of yard and organic waste",Compost (tonne),Direct,Compost User
Compliance with Building Code Regulations,Building Permit Issued,Direct,"Property OwnerDeveloper / Agent"
Compliance with Building Code Regulations,Building Construction Permit Issued,Direct,"Property OwnerDeveloper / Agent"
Compliance with Building Code Regulations,Building Demolition Permit Issued,Direct,"Property OwnerDeveloper / Agent"
Compliance with Building Code Regulations,Building Alteration Permit Issued,Direct,"Property OwnerDeveloper / Agent"
Compliance with Building Code Regulations,Sign Permit Issued,Direct,"Property OwnerDeveloper / Agent"
Compliance with Property Standards By-Law / Regulations,Property Standards By-Law Enforced (Compliance),Direct,Property Owner
Compliance with Noise By-Law,Noise By-Law Enforced (Compliance),Direct,Property Owner
Compliance with Fence By-Law,Fence By-Law Enforced (Compliance),Direct,Property Owner
Compliance with Pest Control By-Law,Pest Control By-Law Enforced (Compliance),Direct,Property Owner
Compliance with applicable development regulations,Development Approved,Direct,"Property OwnerAgent of Property Owner (i.e. Developer)"
Compliance with applicable site plan approval regulations,Site Plan Approved,Direct,"Property OwnerAgent of Property Owner (i.e. Developer)"
Compliance with applicable zoning by-law regulations,Rezoning Approved,Direct,"Property OwnerAgent of Property Owner (i.e. Developer)"
Compliance with applicable official plan policies,Official Plan Amendment Approved,Direct,"Property OwnerAgent of Property Owner (i.e. Developer)"
Compliance with applicable subdivision regulations,Subdivision Approved,Direct,"Property OwnerAgent of Property Owner (i.e. Developer)"
Compliance with applicable condominium regulations,Condominium Approved,Direct,"Property OwnerAgent of Property Owner (i.e. Developer)"
Safe and Efficient movement of people and goods,Kilometre of Road (Accessed),Direct,"Roadway Users (Drivers, Passengers, Cyclists, Pedestrians)"
Safe and Efficient movement of people and goods,Kilometre of Arterial Road (Accessed),Direct,"Roadway Users (Drivers, Passengers, Cyclists, Pedestrians)"
Safe and Efficient movement of people and goods,Kilometre of Local Road (Accessed),Direct,"Roadway Users (Drivers, Passengers, Cyclists, Pedestrians)"
"Maximized acces by all modes of transport to roads, sidewalks and bicycle paths.",Kilometre of Controlled Road (Accessed),Direct,"Roadway Users (Drivers, Passengers, Cyclists, Pedestrians)"
"Maximized acces by all modes of transport to roads, sidewalks and bicycle paths.",Kilometre of Traffic Signal Controlled Road (Accessed),Direct,"Roadway Users (Drivers, Passengers, Cyclists, Pedestrians)"
"Maximized acces by all modes of transport to roads, sidewalks and bicycle paths.",Kilometre of Traffic Signal Controlled Road (Accessed),Direct,"Roadway Users (Drivers, Passengers, Cyclists, Pedestrians)"
Maximized acces by pedestrians to roads and sidewalks.,Kilometre of Traffic Signal Controlled Road (Accessed),Direct,Pedestrians
Safe and Efficient movement of people and goods,Metre of Sidewalk (Accessed),Direct,Pedestrians
Safe and Efficient movement of people and goods,Kilometre of Bicycle Pathway (Accessed),Direct,Cyclists
Improved mobility at an affordable price,Transit Trip,Direct,Transit Rider / Patron
Improved mobility at an affordable price,Scheduled Transit Trip,Direct,Schedule Transit Rider / Patron
Improved mobility at an affordable price,Para Transit Trip,Direct,Para Transit Rider / Patron
Convenient access to air travel,Airport Accessed (departure or arrival),Direct,"Airport PatronAirport Passenger"
Convenient access to ferry travel,Ferry Trip,Direct,Ferry Passenger
Convenient access to destination,Parking Stay,Direct,Parking Patron
Convenient access to destination,On-Street Parking Stay,Direct,Parking Patron
Convenient access to destination,Off-Street Parking Stay,Direct,Parking Patron
"Convenient, reliable access to destination",Parking Permit Issued,Direct,Parking Patron
"Convenient, reliable access to front-yard parking",Front-Yark Parking Permit Issued,Direct,Parking Patron
"Convenient, reliable access to destination",On-Street Parking Permit Issued,Direct,Parking Patron
Compliance with parking rules,Parking Violation,Direct,Parking Violator
Guaranteed access to facility,Recreational Facility Booked,Direct,Recreational Facility User
"Park is accessible, clean and safe",Park Accessed,Direct,Park User
"Field is accessible, clean and safe",Sports Field Accessed,Direct,Sports Field User
Exhibit is accessible,Horticultural Exhibit Accessed,Direct,Horticulture Patron
"Open space is accessible, clean and safe",Open Space Accessed,Direct,Open Space user
Enhanced quality of life and personal wellness through active living,Recreational Instruction Lesson (Provided),Direct,Recreation Participant / Student
Enhanced quality of life and personal wellness through aquatics,Aquatics Instruction Lesson (Provided),Direct,Aquatics Participant / Student
Enhanced quality of life and personal wellness through sports,Sports Instruction Lesson (Provided),Direct,Sports Participant / Student
Enhanced quality of life and personal wellness through skating,Skating Instruction Lesson (Provided),Direct,Skating Participant / Student
