Name,Output Type
"Corporate Direction Corporate Directive",Rule
Strategic Plan Developed (and implemented),Rule
Transformation Initiative Managed (and implemented),Rule
Issue Resolved,Rule
Organizational Design Implemented,Rule
Program / Service Plan Implemented (Program / Service Plan Objective Met),Rule
Transportation Program / Service Plan Implemented (Transportation Program / Service Plan Objective Met),Rule
Public Safety Program / Service Plan Implemented (Public Safety Program / Service Plan Objective Met),Rule
Leisure Program / Service Plan Implemented (Leisure Program / Service Plan Objective Met),Rule
Professional Advice,Advisory Encounter
Legal Advice Imparted,Advisory Encounter
Contract / Agreement Executed,Rule
Risk Mitigated,Period of Protection
Audit Recommendation,Finding
Audit Recommendation,Finding
Compliance Audit Recommendation,Finding
Value for Money Audit Recommendation,Finding
Project Completed (on time and on budget),Finding
Corporate Policy Approved,Rule
Financial Policy Approved,Rule
Human Resource Policy Approved,Rule
Information Policy Approved,Rule
Asset Management Policy Approved,Rule
By-Law Enacted,Rule
Land Use By-Law Enacted,Rule
Official Plan Policy Enacted (Amendment),Rule
Zoning By-Law Enacted (Amendment),Rule
Site Plan Control By-Law Enacted (Amendment),Rule
Public Safety By-Law Enacted,Rule
Council Supported,Unit of Resource
Finances Accounted,Funds
Budget Approved (and Monitored),Funds
Budget Approved,Funds
Variance Report,Funds
Fund Account Managed,Funds
Investment Managed (Return on Investment),Funds
Debt Managed (Debt Payment),Funds
Budget Approved (and Monitored),Funds
Invoice Paid,Funds
Revenue Collected,Funds
Revenue Collected,Funds
Purchased Good or Service (Issued Purchase Order),Unit of Resource
Credit Card Purchased Good or Service,Unit of Resource
Quotation Purchased Good or Service,Unit of Resource
Proposal Purchased Good or Service,Unit of Resource
Tender Purchased Good or Service,Unit of Resource
Employee Paid (Pay Cheque),Funds
Integrated Service Access,"Match, Referral & Linkage"
Emergency Request Taken (and Dispatched),"Match, Referral & Linkage"
Service Request Taken (and Dispatched) Over the Telephone Channel,"Match, Referral & Linkage"
Service Request Taken (and Dispatched) Over the Telephone Channel,"Match, Referral & Linkage"
Service Request Taken (and Dispatched) Over the Electronic (Internet) Channel,"Match, Referral & Linkage"
Service Request Taken (and Dispatched) Over the Face-to-Face (Counter) Channel,"Match, Referral & Linkage"
Translated Service Information / Request,"Match, Referral & Linkage"
"Mail Collected Mail Delivered","Match, Referral & Linkage"
Information / Record Accessed (Available),Unit of Resource
Employee Managed,Unit of Resource
Employee Compensated (Correctly),Funds
Employee Trained,Educational & Training Encounter
Rehabilitated Injured Worker,Care & Rehabilitation Encounter
Employee Advised,Advisory Encounter
Labour Agreement (Approved),Period of Agreement
Position Filled,Unit of Resource
Employee Recruited,Unit of Resource
Employee Fired,Unit of Resource
Employee Retired,Unit of Resource
Job / Position Managed,Rule
Volunteer Assigned,Unit of Resource
Communication Message / Communiqu_,Advisory Encounter
External Communication Message / Communiqu_,Advisory Encounter
Internal Communication Message / Communiqu_,Advisory Encounter
Asset Managed (Operational),Unit of Resource
Real Property Managed (square metre),Unit of Resource
Landfill Site Operated,Unit of Resource
Facility Managed (square metre),Unit of Resource
Office Building Managed (square metre),Unit of Resource
Community Centre Managed (square metre),Unit of Resource
Grounds Maintained,Unit of Resource
Park Grounds Maintained,Unit of Resource
Boulevard Grounds Maintained,Unit of Resource
Fleet Managed (Operational),Unit of Resource
Vehicle Managed (Operational),Unit of Resource
Truck Managed (Operational),Unit of Resource
Bus Managed (Operational),Unit of Resource
Fuel Distributed,Unit of Resource
Commodity Distributed,Unit of Resource
Engineering Design Constructed,Rule
Information Technology Managed (Operational),Unit of Resource
Information Accessed,Rule
Business Solution Accessed,Rule
Information Technology Infrastructure Accessed,Rule
Record Managed (Available),Unit of Resource
Emergency Management Plan,Rule
