Name,Service,Sub-Processes
Forecast Roadway Usage Demand,Roadway Access ,""
Design Roadway ,Roadway Access ,""
Construct Roadway,Roadway Access ,""
Maintain Roadway,Roadway Access ,""
Operate Roadway,Roadway Access ,""
Forecast Arterial Roadway Usage Demand,Arterial Roadway Access,""
Design Arterial Roadway ,Arterial Roadway Access,""
Construct Arterial Roadway ,Arterial Roadway Access,""
Maintain Arterial Roadway ,Arterial Roadway Access,""
Operate Arterial Roadway ,Arterial Roadway Access,""
Forecast Local Roadway Usage Demand,Local Roadway Access,""
Design Local Roadway ,Local Roadway Access,""
Construct Local Roadway ,Local Roadway Access,""
Maintain Local Roadway ,Local Roadway Access,""
Operate Local Roadway ,Local Roadway Access,""
Forecast Traffic Flow System Demand,Traffic Flow Control,""
Design Traffic Flow System ,Traffic Flow Control,""
Construct Traffic Flow System ,Traffic Flow Control,""
Maintain Traffic Flow System ,Traffic Flow Control,""
Operate Traffic Flow System ,Traffic Flow Control,""
Forecast Traffic Signal Control Demand,Traffic Signal Control,""
Design Traffic Signal Control ,Traffic Signal Control,""
Construct Traffic Signal Control ,Traffic Signal Control,""
Maintain Traffic Signal Control ,Traffic Signal Control,""
Operate Traffic Signal Control ,Traffic Signal Control,""
Forecast Traffic Sign Control Demand,Traffic Sign Control,""
Design Traffic Sign Control ,Traffic Sign Control,""
Construct Traffic Sign Control ,Traffic Sign Control,""
Maintain Traffic Sign Control ,Traffic Sign Control,""
Operate Traffic Sign Control ,Traffic Sign Control,""
Forecast Crosswalk Control System Demand,Crosswalk Control,""
Design Crosswalk Control System ,Crosswalk Control,""
Construct Crosswalk Control System ,Crosswalk Control,""
Maintain Crosswalk Control System ,Crosswalk Control,""
Operate Crosswalk Control System ,Crosswalk Control,""
Forecast Sidewalk Demand,Sidewalk Access,""
Design Sidewalk ,Sidewalk Access,""
Construct Sidewalk ,Sidewalk Access,""
Maintain Sidewalk ,Sidewalk Access,""
Operate Sidewalk ,Sidewalk Access,""
Forecast Bicycle Pathway Demand,Bicycle Pathway Access,""
Design Bicycle Pathway ,Bicycle Pathway Access,""
Cosntruct Bicycle Pathway ,Bicycle Pathway Access,""
Maintain Bicycle Pathway ,Bicycle Pathway Access,""
Operate Bicycle Pathway ,Bicycle Pathway Access,""
Forecast Park Usage Demand,Park Access,""
Design Park,Park Access,""
Construct Park ,Park Access,""
Maintain Park,Park Access,"""Maintain Turf""""Maintain Sidewalks and Pathways""""Clear Snow"""
Operate Park,Park Access,""
Forecast Water System Usage Demand,Drinking Water Supply,""
Design Water System ,Drinking Water Supply,""
Construct Water System ,Drinking Water Supply,""
Maintain Water System ,Drinking Water Supply,""
Operate Water System ,Drinking Water Supply,"""Treat Water """"Transmit Water """"Store Water """"Distribute Water """"Connect Water Service  """"Read Water Meter """
Bill for Water Consumed ,Drinking Water Supply,""
Collect Water Revenue,Drinking Water Supply,""
Forecast Wastewater System Usage Demand,Wastewater Removal,""
Design Wastewater System ,Wastewater Removal,""
Construct Wastewater System ,Wastewater Removal,""
Maintian Wastewater System ,Wastewater Removal,""
Operate Wastewater System ,Wastewater Removal,"""Collect Wastewater """"Treat Wastewater """"Pump Wastewater """"Dispose of Bio-Solids """"Monitor Industrial Wastewater Discharge"""
Bill for Wastewater Treatment,Wastewater Removal,""
Collect Wastewater Revenue,Wastewater Removal,""
Forecast Storm Water System Usage Demand,Storm Water Drainage,""
Design Storm Water System ,Storm Water Drainage,""
Construct Storm Water System ,Storm Water Drainage,""
Maintain Storm Water System ,Storm Water Drainage,""
Operate Storm Water ,Storm Water Drainage,"""Collect Storm Water """"Transmit Storm Water """"Treat Storm Water """
Bill for Storm Water Usage,Storm Water Drainage,""
Collect Storm Water Revenue,Storm Water Drainage,""
Forecast Tree Usage Demand,Urban Forestry,""
Plant Tree ,Urban Forestry,""
Prune Tree ,Urban Forestry,""
Spray Tree ,Urban Forestry,""
Trim Tree ,Urban Forestry,""
Remove Tree ,Urban Forestry,""
Define Election Boundary ,Election,""
Operate Polling Station ,Election,""
Train Electoral Officer ,Election,""
Monitor Election Finance ,Election,""
Advise on Purchasing Policies,Purchasing,""
Prepare Purchase Document ,Purchasing,""
Process WSIB Claim,Workplace Health and Safety,""
Investigate WSIB Complaint,Workplace Health and Safety,""
Negotiate Labour Contract ,Labour Relations,""
Resolve Grievance ,Labour Relations,""
Real Estate Acquisition,Real Estate Access,""
Design Landfill Site ,Landfill Site Management,""
Construct Landfill Site ,Landfill Site Management,""
Operate Landfill Site ,Landfill Site Management,""
Facility Operations,Facility Access,""
Fleet Acquisition / Leasing,Fleet Access,""
Fleet Maintenance,Fleet Access,""
