Output,Client,Name
Garbage Collected (tonne),Property Occupant,"Convenient, affordable disposal of garbage"
Curbside Garbage Collected (tonne),Household Occupant,"Convenient, affordable disposal of household garbage"
Multi-Residential Garbage Collected (tonne),Apartment Occupant,"Convenient, affordable disposal of multi-residential garbage"
Curbside Retail Garbage Collected (tonne),Strip Retail Occupant (Tenant),"Convenient, affordable disposal of retail garbage"
Litter Collected (tonne),,
Recycled Material Collected (tonne),Property Occupant,"Convenient, affordable disposal of recycled material
Diversion of recyclable materials from waste stream"
Household Recycled Material Collected (tonne),Household Occupant,"Public Health
Environmental Protection"
Household Recycled Paper Product Collected (tonne),Household Occupant,Environmental Protection
Household Recycled Glass / Metal Products Collected (tonne),Household Occupant,Environmental Protection
Household Recycled Organic Material Collected (tonne),Household Occupant,"Public Health
Environmental Protection"
Household Recycled White Goods Collected (tonne),Household Occupant,Environmental Protection
Household Recycled Yard Waste Collected (tonne),Household Occupant,Environmental Protection
Multi-Residential Recycled Material Collected (tonne),Apartment Occupant (Tenant),Environmental Protection
Multi-Residential Recycled Paper Product Collected (tonne),Apartment Occupant (Tenant),Environmental Protection
Multi-Residential Recycled Organic Material Collected (tonne),Apartment Occupant (Tenant),"Public Health
Environmental Protection"
Multi-Residential Recycled White Goods Collected (tonne),Apartment Occupant (Tenant),Environmental Protection
Curbside Retail Recycled Material Collected (tonne),Strip Retail Occupant (Tenant),Environmental Protection
Garbage Dropped Off (tonne),,
Residual Waste Dropped Off (tonne),,
Recycled Waste Dropped Off (tonne),,
Garbage Disposed (tonne),,
Compost (tonne),,
Building Permit Issued,Building Occupant / User,Safe building to use / occupy
Building Construction Permit Issued,Building Occupant / User,Safe building to use / occupy
Building Demolition Permit Issued,Adjacent Property Owner,Safe site for demolition
Building Alteration Permit Issued,Building Occupant / User,Safe building to use / occupy
Sign Permit Issued,Adjacent Property Owner,Safe sign
Property Standards By-Law Enforced (Compliance),"Building Occupant / User
Adjacent Property Owner",Safe building to use / occupy
Noise By-Law Enforced (Compliance),Adjacent Property Owner,Quieter neighbourhood
Fence By-Law Enforced (Compliance),Adjacent Property Owner,Impartial intervention in disputes about the boundary  of property
Pest Control By-Law Enforced (Compliance),Adjacent Property Owner,Healthier neighbourhood free from pests
Development Approved,Adjacent Property Owner,Community Development
Site Plan Approved,Adjacent Property Owner,Community Development
Rezoning Approved,Adjacent Property Owner,Community Development
Official Plan Amendment Approved,Adjacent Property Owner,Community Development
Subdivision Approved,Adjacent Property Owner,Community Development
Condominium Approved,Adjacent Property Owner,Community Development
Kilometre of Road (Accessed),,
Kilometre of Arterial Road (Accessed),,
Kilometre of Local Road (Accessed),,
Kilometre of Controlled Road (Accessed),,
Kilometre of Traffic Signal Controlled Road (Accessed),,
Kilometre of Traffic Signal Controlled Road (Accessed),,
Kilometre of Traffic Signal Controlled Road (Accessed),,
Metre of Sidewalk (Accessed),,
Kilometre of Bicycle Pathway (Accessed),,
Transit Trip,,
Scheduled Transit Trip,,
Para Transit Trip,,
Airport Accessed (departure or arrival),,
Ferry Trip,,
Parking Stay,,
On-Street Parking Stay,,
Off-Street Parking Stay,,
Parking Permit Issued,,
Front-Yark Parking Permit Issued,,
On-Street Parking Permit Issued,,
Parking Violation,Parking Patron,Convenient access to destination
Recreational Facility Booked,,
Park Accessed,,
Sports Field Accessed,,
Horticultural Exhibit Accessed,,
Open Space Accessed,,
Recreational Instruction Lesson (Provided),,
Aquatics Instruction Lesson (Provided),,
Sports Instruction Lesson (Provided),,
Skating Instruction Lesson (Provided),,
Fitness Instruction Lesson (Provided),,
Dancing Instruction Lesson (Provided),,
Golfing Instruction Lesson (Provided),,
Curling Instruction Lesson (Provided),,
Recreational Activity (Provided),,
Aquatics Programme Activity (Provided),,
Senior Aquatics Programme Activity (Provided),,
Adult Aquatics Programme Activity (Provided),,
Youth Aquatics Programme Activity (Provided),,
Child Aquatics Programme Activity (Provided),,
Infant Aquatics Programme Activity (Provided),,
Special Needs Aquatics Programme Activity (Provided),,
Sports Programme Activity (Provided),,
Skating Programme Activity (Provided),,
Fitness Programme Activity (Provided),,
Dancing Programme Activity (Provided),,
Day Camp Programme Activity (Provided),,
Golfing Programme Activity (Provided),,
Curling Programme Activity (Provided),,
Business Licence Issued,Business Patron,Compliance with applicable business regulations
Business Establishment Licence Issued,Business Establishment Patron,Compliance with applicable business establishment regulations
Adult Entertainment Establishment Licence Issued,Adult Entertainment Establishment Patron,Compliance with applicable adult entertainment establishment regulations
Auto Body Repair Shop Licence Issued,Auto Body Repair Shop Patron,Compliance with applicable auto body repair shop regulations
Adult Entertainment Establishment Licence Issued,Adult Entertainment Establishment Patron,Compliance with applicable adult entertainment establishment regulations
Auto Body Repair Shop Licence Issued,Auto Body Repair Shop Patron,Compliance with applicable auto body repair shop regulations
Adult Entertainment Establishment Licence Issued,Adult Entertainment Establishment Patron,Compliance with applicable adult entertainment establishment regulations
Auto Body Repair Shop Licence Issued,Auto Body Repair Shop Patron,Compliance with applicable auto body repair shop regulations
Adult Entertainment Establishment Licence Issued,Adult Entertainment Establishment Patron,Compliance with applicable adult entertainment establishment regulations
Auto Body Repair Shop Licence Issued,Auto Body Repair Shop Patron,Compliance with applicable auto body repair shop regulations
Auto Body Repair Shop Licence Issued,Auto Body Repair Shop Patron,Compliance with applicable auto body repair shop regulations
Adult Entertainment Establishment Licence Issued,Adult Entertainment Establishment Patron,Compliance with applicable adult entertainment establishment regulations
Auto Body Repair Shop Licence Issued,Auto Body Repair Shop Patron,Compliance with applicable auto body repair shop regulations
Business Occupational Licence Issued,Business Occupation Patron,Compliance with applicable business occupation regulations
Taxi Driver Licensed,Taxi Patron,Compliance with applicable taxi driving regulations
Auctioneer Licensed,Auction Patron,Compliance with applicable auctioneer regulations
Building Contractor Licensed,Property Owner,Compliance with applicable building contractor regulations
Hawker / Peddler Licensed,Retail Establishment,Compliance with applicable hawker / peddler regulations
Scrap Collector Licensed,Adjacent Property Owner,Compliance with applicable scrap collector regulations
Tourism Information (provided),Hospitality Industry Establishment,Increased hospitality industry revenue (business)
Tourist Event Hosted,Tourist,Safer tourism event
Business Attraction Campaign,Existing Business,Greater opportunities to generate business with new businesses
Business Consultation,,
SME Consultation,,
Event Permit Issued,Event Participant,Safer event
Film and Media Permit Issued,,
Criminal Investigation Report,Perpetrator,"Fair, impartial investigation of crime"
Court Case Ruling,Plaintiff,"Fair, impartial resolution of court case"
Court Dispute Resolved,,
Default Fine Paid,,
Courtroom Secured (patrolled),,
Roadway Lit ,,
Emergency Incident Intervention,,
Fire Safety Prevention Education Lesson,,
Fire Rescue Incident Mitigated,Property Owner,Reduced loss of  property due to fire rescue incident
Fire Incident Mitigated,Property Owner,Reduced loss of property due to fire incident
Structure Fire Rescue Incident Mitigated,Property Owner,Reduced loss of property due to structure fire incident
