Output,Client,Name
"Corporate Direction 
Corporate Directive",Corporation (department),Improved organizational cohesion
Strategic Plan Developed (and implemented),Corporation (department),Clear target for strategic success
Transformation Initiative Managed (and implemented),Corporation (department),Improved oversight of transformation and change
Issue Resolved,Corporation (department),Improved issue resolution with the least disruption to normal business operations.
Organizational Design Implemented,Corporation (department),Clear lines of accountability and responsibility in the delivery of programs and services.
Program / Service Plan Implemented (Program / Service Plan Objective Met),Corporation (department),Alignment of services with strategic directions of the Corporation
Transportation Program / Service Plan Implemented (Transportation Program / Service Plan Objective Met),Corporation (department),Alignment of transporation program services with strategic directions of the Corporation
Public Safety Program / Service Plan Implemented (Public Safety Program / Service Plan Objective Met),Corporation (department),Alignment of public safety program services with strategic directions of the Corporation
Leisure Program / Service Plan Implemented (Leisure Program / Service Plan Objective Met),Corporation (department),Alignment of leisure program services with strategic directions of the Corporation
Professional Advice,Corporation (department),More informed decisions
Legal Advice Imparted,Corporation (department),More informed decisions based on legal advice
Contract / Agreement Executed,Corporation (department),"Certainty, continuity and consistency in managing obligations between two or more parties"
Risk Mitigated,Corporation (department),Reduced risk of litigation
Audit Recommendation,Corporation (department),Improved internal controls (i.e. improved management of risks).
Audit Recommendation,Corporation (department),Improved internal financial controls (i.e. improved management of financial risks).
Compliance Audit Recommendation,Corporation (department),Improved internal regulatory controls (i.e. improved management of regulatory risks).
Value for Money Audit Recommendation,Corporation (department),Greater value for money
Project Completed (on time and on budget),Corporation (department),Greater probability of completing the project on time and on budget
Corporate Policy Approved,Corporation (department),Increased alignment between corporate policy and corporate goals and objectives (Corporate Vision)
Financial Policy Approved,Corporation (department),Increased alignment between financial policy and corporate goals (Corporate Vision)
Human Resource Policy Approved,Corporation (department),Increased alignment between human resource policy and corporate goals (Corporate Vision)
Information Policy Approved,Corporation (department),Increased alignment between information policy and corporate goals (Corporate Vision)
Asset Management Policy Approved,Corporation (department),Increased alignment between asset management policy and corporate goals (Corporate Vision)
By-Law Enacted,Corporation (department),Increased alignment between public policy and corporate goals and objectives (Corporate Vision)
Land Use By-Law Enacted,Corporation (department),Increased alignment between land use policy and corporate goals and objectives (Corporate Vision)
Official Plan Policy Enacted (Amendment),Corporation (department),Increased alignment between official plan policy and corporate goals and objectives (Corporate Vision)
Zoning By-Law Enacted (Amendment),Corporation (department),Increased alignment between zoning by-law and corporate goals and objectives (Corporate Vision)
Site Plan Control By-Law Enacted (Amendment),Corporation (department),Increased alignment between site plan control by-law and corporate goals and objectives (Corporate Vision)
Public Safety By-Law Enacted,Corporation (department),Increased alignment between public safety policy and corporate goals and objectives (Corporate Vision)
Council Supported,Councillor,Improved efficiency of Council meetings
Finances Accounted,Corporation (department),Improved accountability of municipal finances
Budget Approved (and Monitored),Corporation (department),Sufficient budget to deliver programs and services
Budget Approved,Corporation (department),Increased alignment of budget with corporate strategic direction
Variance Report,Corporation (department),Reduced budget overrun
Fund Account Managed,Corporation (department),Maximized fund returns
Investment Managed (Return on Investment),Corporation (department),Increased return on investment
Debt Managed (Debt Payment),Corporation (department),Reduced debt
Budget Approved (and Monitored),Corporation (department),Funds accounted
Invoice Paid,Corporation (department),Expenditures accounted
Revenue Collected,Corporation (department),Revenue accounted
Revenue Collected,Corporation (department),Fees accounted
Purchased Good or Service (Issued Purchase Order),Purchasing authority (department),Effective process completed in compliance with policy
Credit Card Purchased Good or Service,Purchasing authority (department),Effective process completed in compliance with policy
Quotation Purchased Good or Service,Purchasing authority (department),Effective process completed in compliance with policy
Proposal Purchased Good or Service,Purchasing authority (department),Effective process completed in compliance with policy
Tender Purchased Good or Service,Purchasing authority (department),Effective process completed in compliance with policy
Employee Paid (Pay Cheque),Corporation (department),Employees paid for services rendered
Integrated Service Access,Service Requestor,Improved access to public services through the channel of choice
Emergency Request Taken (and Dispatched),Incident Caller,Improved access to emergency services
Service Request Taken (and Dispatched) Over the Telephone Channel,Service Request Caller,Improved access to public services over the telephone.
Service Request Taken (and Dispatched) Over the Telephone Channel,Service Request Caller,Improved access to community based services over the telephone.
Service Request Taken (and Dispatched) Over the Electronic (Internet) Channel,Electronic Service Requestor,Improved access to public services electronically over the Internet.
Service Request Taken (and Dispatched) Over the Face-to-Face (Counter) Channel,In person Service Requestor,Improved access to public services over the counter.
Translated Service Information / Request,Non-English Service Requestor,Improved access to public services in the language of choice.
"Mail Collected 
Mail Delivered",Service Requestor,Improved access to public services via the mail channel.
Information / Record Accessed (Available),Corporation (department),
Employee Managed,Corporation (department),
Employee Compensated (Correctly),Corporation (department),Effective compensation policies which allow corporation to attract and retain quality employees
Employee Trained,Corporation (department),"More productive employees
Improved employee engagement"
Rehabilitated Injured Worker,Corporation (department),"Reduced loss of time to accidents and illness
Reduced absenteeism
Increased compliance with workplace health and safety standards
Increased employee engagement"
Employee Advised,Corporation (department),"Improved trust and confidence in management
Improved reputation as excellent employer
More productive and engaged employees"
Labour Agreement (Approved),Corporation (department),"Compliance with employment standards and expectations
"
Position Filled,Corporation (department),"Effective assistance with recruitment, selection, promotion, separation, orientation, etc."
Employee Recruited,Corporation (department),"Greater productivity in recruited employee
Improved fit of recruited employee with role / position"
Employee Fired,Corporation (department),"Reduced disruption resulting from employee's actions / behaviour
Reduced risk in firing employee"
Employee Retired,Corporation (department),"Improved transition of one employee to the replacement employee
Reduced disruption in productivity due to retiring employee"
Job / Position Managed,Corporation (department),Greater clarity around the role of jobs / positions within the organization.
Volunteer Assigned,Corporation (department),Greater benefit from the allocation of volunteer resources
Communication Message / Communiqu_,Corporation (department),"Awareness of relevant information about municipal programs and services, and the municipal workplace"
External Communication Message / Communiqu_,Corporation (department),Awareness of relevant information about municipal programs and services
Internal Communication Message / Communiqu_,Corporation (department),Awareness of relevant information about municipal programs and services and their workplace
Asset Managed (Operational),Corporation (department),Improved access to municipal assets
Real Property Managed (square metre),Corporation (department),Improved access to real estate required to deliver programs and services
Landfill Site Operated,Solid Waste Department,Improved access to a facility to dispose of garbage
Facility Managed (square metre),Corporation (department),Improved facility access
Office Building Managed (square metre),Corporation (department),Improved office building access
Community Centre Managed (square metre),Corporation (department),Improved community centre access
Grounds Maintained,Corporation (department),Improved maintenance of grounds for the delivery of programs and services
Park Grounds Maintained,Corporation (department),Improved maintenance of grounds for the delivery of programs and services
Boulevard Grounds Maintained,Corporation (department),Improved maintenance of grounds for the delivery of programs and services
Fleet Managed (Operational),Corporation (department),Improved access to vehicles of many varieties
Vehicle Managed (Operational),Corporation (department),Improved access to vehicles
Truck Managed (Operational),Corporation (department),Improved access to trucks
Bus Managed (Operational),Corporation (department),Improved access to busses
Fuel Distributed,Corporation (department),Improved access to fuel
Commodity Distributed,Corporation (department),Improved access to business supplies
Engineering Design Constructed,Corporation (department),Improved design of engineering projects to municipal specifications
Information Technology Managed (Operational),Corporation (department),Improved access to information technology
Information Accessed,Corporation (department),Improved access to information
Business Solution Accessed,Corporation (department),Improved access to business solutions
Information Technology Infrastructure Accessed,Corporation (department),Improved access to technology infrastructure
Record Managed (Available),Corporation (department),Improved access to records
Emergency Management Plan,Corporation (department),Improved response to an emergency based on a pre-defined plan
