Parent,Name,Aliases,Description,Service Type,Output,Output Type,Direct Client,Direct Client Service Value,Needs Category,Beneficial Client,Beneficial Client Service Value,Beneficial Client Need Category,Owner,Needs Category,Processes,Comments,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Service Type ""Types""",Service Output Types
,Corporate Leadership,,An internal / enabling service that provides direction to the Corporation and employees of the Corporation.,Internal or Enabling,"Corporate Direction 
Corporate Directive",Rule,Corporation (department),Improved organizational cohesion,,,,,Public Works Department,,,"Difficult to make the case that the Service Output Type for the Corporate Leadership Services is always a ñRuleî _ e.g. Transformation Initiative Management.  Having just written a position paper on amalgamating or outsourcing Corporate Leadership, I disagree that it is not a service, or that it is distinct.  The output is a ñdecisionî.  IF you donÍt distinguish that at a high level, it becomes totally diluted into every other service as a process.  ","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Funds
Corporate Leadership,Strategic Plan Development and Monitoring,,An internal / enabling service that provides strategic plan direction to the Corporation.,Internal or Enabling,Strategic Plan Developed (and implemented),Rule,Corporation (department),Clear target for strategic success,,,,,,,,"Might add ñand Monitoringî, as we have for Program and Service Planning.  Also consider a top level Service of something Corporate Planning _ to include both Corporate and Program Planning.","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal or Enabling,Care & Rehabilitation Encounter
Corporate Leadership,Transformation Initiative Management,,An internal / enabling service that manages implemented changes.,Internal or Enabling,Transformation Initiative Managed (and implemented),Rule,Corporation (department),Improved oversight of transformation and change,,,,,,,,"Not convinced that this is a service, rather than a process; Government of Canada lists Project Management as a Service","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational & Training Encounter
Corporate Leadership,Issue Management,,An internal / enabling service that manages issues to reduce the liability to the municipality.,Internal or Enabling,Issue Resolved,Rule,Corporation (department),Improved issue resolution with the least disruption to normal business operations.,,,,,,,,Not convinced that this is a service rather than a process.,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unit of Resource
Corporate Leadership,Organizational Design,,An internal / enabling service that designs the organizational structure accountable for delivering programs and services.,Internal or Enabling,Organizational Design Implemented,Rule,Corporation (department),Clear lines of accountability and responsibility in the delivery of programs and services.,,,,,,,,One can make the case that this belongs under Human Resource Management.,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Knowledge
,Program and Service Planning and Monitoring,,An internal / enabling service offering alignment of programs and services offered by the municipality with the strategic directions of the corporation.,Internal or Enabling,Program / Service Plan Implemented (Program / Service Plan Objective Met),Rule,Corporation (department),Alignment of services with strategic directions of the Corporation,,,,,,,,"As above, might be a sub-service under a general Program Planning and Monitoring service.  Subservices (Transportation, Public Safety, etc.) clearly depend on how municipalities define their programs, but the principle is fine.
","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational & Cultural Encounter
Program and Service Planning and Monitoring,Transportation Program and Service Planning and Monitoring,,An internal / enabling service offering alignment of the transportation program and associated services offered by the municipality with the strategic directions of the corporation.,Internal or Enabling,Transportation Program / Service Plan Implemented (Transportation Program / Service Plan Objective Met),Rule,Corporation (department),Alignment of transporation program services with strategic directions of the Corporation,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movement
Program and Service Planning and Monitoring,Public Safety Program and Service Planning and Monitoring,,An internal / enabling service offering alignment of the public safety program and associated services offered by the municipality with the strategic directions of the corporation.,Internal or Enabling,Public Safety Program / Service Plan Implemented (Public Safety Program / Service Plan Objective Met),Rule,Corporation (department),Alignment of public safety program services with strategic directions of the Corporation,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Encounter
Program and Service Planning and Monitoring,Leisure Program and Service Planning and Monitoring,,An internal / enabling service offering alignment of the leisure program and associated services offered by the municipality with the strategic directions of the corporation.,Internal or Enabling,Leisure Program / Service Plan Implemented (Leisure Program / Service Plan Objective Met),Rule,Corporation (department),Alignment of leisure program services with strategic directions of the Corporation,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Match, Referral & Linkage"
,Professional Support,Professional Services,"An internal / enabling service offering a variety of professional advice on topics such as the legal implications of pursuing an action, through to and including the risks associated with an action.",Internal or Enabling,Professional Advice,Advisory Encounter,Corporation (department),More informed decisions,,,,,,,,"I rather like WindsorÍs Professional Services as a high-level service.  It can include all of these internal services that provide advice / consulting to the corporation (e.g. Risk Management, Audit, Legal) with a service output type of ñAdvisory Encounterî.  One might consider Engineering Services here, but the Output Type is probably something more tangible (a design / ñUnit of Resource?î) rather than just advice.","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Support,Legal Support,,An internal / enabling service offering the support to the Corporation by providing legal advice and guidance.,Internal or Enabling,Legal Advice Imparted,Advisory Encounter,Corporation (department),More informed decisions based on legal advice,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advocacy & Promotional Encounter
