Parent,Name,Description,Program Type,Actualized Result,Needs Category,Target Group,Outcomes,Source
,Public Safety,"A program aimed at protecting people and property through police and fire services, emergency management and enforcement of legislation related to building safety, property standards and animal control, with a view to increasing the safety and security of our citizens. ",Public,A safe and secure community.,,"Victims of violence
Victims of disaster
Victims of hate
Victims of fear",Crime Rate,"Reference Model Working Group - September, 2011"
Public Safety,Law Enforcement,A program aimed at protecting people from violence and/or crime through the provision of police services.,Public,A law biding community,,"Victims of violence
Victims of crime
",Crime Rate,"Reference Model Working Group - September, 2011"
Public Safety,Fire Safety,"A program aimed at protecting people and property from accidents and incidents, such as fire, through the provision of fire services.",Public,A fire safe community,,"Victims of disaster
Victims of accidents","Loss of lives due to fires
Loss of property due to fires","Reference Model Working Group - September, 2011"
Public Safety,Construction Safety,A program aimed at protecting people at or around construction sites.,Public,A construction safe community,,Victims of construction accidents,Construction accidents,"Reference Model Working Group - September, 2011"
Public Safety,Transportation Safety,"A program aimed at protecting motorists, pedestrians and cyclists from accident and/or injury will navigating public hightways or roards.",Public,A transportation safe community,,Victims of traffic accidents,Traffic accidents,"Reference Model Working Group - September, 2011"
,Economic Development,"A program that focuses on the economic health, diversity and prosperity of our community. It includes the development of physical assets, such as business and/or knowledge parks, and development and management of parking sites and structures. ",Public,"Focused economic growth, stability and prosperity.",,"Businesses
Employers
Employees","Business Investment
Employment Rate","Reference Model Working Group - September, 2011"
Economic Development,Business Development,"A program aimed at supporting the development of businesses, by providing support to those businesses that have the potential to grow, to invest and to hire employees.",Public,"Thriving businesses
Increasing employment opportunities",,Businesses,,"Reference Model Working Group - September, 2011"
Economic Development,Tourism,"A program aimed at attracting tourists in support of the local business economy, including hotels, tourist attractions and retail trade.",Public,Thriving hospitablity industry and retail sector,,"Tourists
Visitors",,"Reference Model Working Group - September, 2011"
Economic Development,Immigration,"A program aimed at encouraging foreigners to come to the municipality, to invest, to work, to share cultural differences, and to provide skilled labour.",Public,Regulated flow of talented immigrants,,Immigrants,,"Reference Model Working Group - September, 2011"
,Property Development,"A program aimed at encouraging property owners to develop their properties, maintain / increase property values and to do so in compliance with applicable legislation, by-laws and regulations.",Public,Increasing property values,,Property Owners,,"Reference Model Working Group - September, 2011"
,Social Support,A program that supports the needs of vulnerable populations.,Public,Vulnerable populations cared for,,Vulnerable Population,,"Reference Model Working Group - September, 2011"
Social Support,Housing,A program that provides housing to vulnerable populations.,Public,Housing for vulnerable populations,,Financially Challenged,,"Reference Model Working Group - September, 2011"
Social Support,Child Support,A program that provides supports to vulnerable children.,Public,Care for vulnerable children,,Children,,"Reference Model Working Group - September, 2011"
Social Support,Employment Support,A program that provides supports to the unemployed or the underemployed.,Public,Support for unemployed / underemployed,,Unemployed / Underemployed,,"Reference Model Working Group - September, 2011"
,Public Health,A program that aims to protect the health of people.,Public,A healthy population,,Residents / Employees,,"Reference Model Working Group - September, 2011"
Public Health,Disease Prevention,A program that aims to prevent disease from affecting people.,Public,A disease free population,,Potential Disease Victims,,"Reference Model Working Group - September, 2011"
Public Health,Long-Term Care,A program that cares for seniors and physically challenged individuals.,Public,Care for seniors and physically challenged individuals,,Seniors / Physically Challenged,,"Reference Model Working Group - September, 2011"
Public Health,Chronic Health,A program that cares for people with serious illnesses.,Public,Care for chronically ill,,Chronically Ill,,"Reference Model Working Group - September, 2011"
Public Health,Sexual Health,A program that encourages people to take sexual precautions.,Public,Elimination / reduction of sexually transmitted disease,,Sexually Active Individuals,,"Reference Model Working Group - September, 2011"
,Education,"A program that provides opportunities for people to learn, to develop skills and to live independent lifestyles.",Public,An educated community,,Students,,"Reference Model Working Group - September, 2011"
Education,Library,"A program that provides opportunities for people to learn, to develop skills and to live independent lifestyles in a library setting.",Public,,,,,"Reference Model Working Group - September, 2011"
