"GUID","Name","Source","Period To Date","Period From Date","Service Output Type","Output Type","Volume Period End","Volume Period Start","Volume Count - Actual","Volume Count - Planned","Status","Service","Outcomesx"
"OP1","Accessible Information (organized information)",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC1"
"OP2","Arts & Cultural Advice (Imparted)",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC2"
"OP3","Building Record Information Provided",,,02/22/10,"Advisory Encounters","Service",,,,,,,
"OP4","Building Regulation & Construction Advice",,,02/22/10,"Advisory Encounters","Service",,,,,,,
"OP5","Building Regulation Compliance Letter",,,02/22/10,"Advisory Encounters","Service",,,,,,,
"OP6","Business Advice Imparted",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC3"
"OP7","Business Consulted",,,02/22/10,"Advisory Encounters","Service",,,,,,,
"OP8","Business Improvement Area Supported",,,02/22/10,"Advisory Encounters","Service",,,,,,,
"OP9","Business Solution Advice",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC4"
"OP10","Child / Youth Health Advice",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC5"
"OP11","Chronic Disease Lifestyle Advice",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC6(s)"
"OP12","Election Result Posted",,,02/22/10,"Advisory Encounters","Service",,,,,,"SVOP8","OPOC7"
"OP13","Energy Conserved",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC8"
"OP14","Information Accessed (to conduct business)",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC9"
"OP15","Information Communicated",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC10"
"OP16","Information request fulfilled",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC11"
"OP17","Injury Prevention Advice",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC12"
"OP18","Legal Advice (Imparted)",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC13"
"OP19","Mental Health Advice",,,02/22/10,"Advisory Encounters","Service",,,,,,,"OPOC14"
"OP20","Prospective Business Supported",,,02/22/10,"Advisory Encounters","Service",,,,,,,
