GUID,Name,Source,Period To Date,Period From Date,Service Output Type,Output Type,Volume Period End,Volume Period Start,Volume Count - Actual,Volume Count - Planned,Status,Service,Outcomesx
OP242,Temporary Sign Permit,,,02/22/10,Periods of Permisson,Service,,,,,,,
OP109,Special needs lesson,,,02/22/10,Educational & Training Encounter,Service,,,,,,,
OP135,Financial Assistance Payment,,,02/22/10,Funds,Service,,,,,,,OPOC117(s)
OP38,International Business Promotion Campaign,,,02/22/10,Advocacy & Promotional Encounter,Service,,,,,,,
OP161,Incident Intervened,,,02/22/10,Interventions,Service,,,,,,,OPOC137(s)
OP216,Demolition Permit Issued,,,02/22/10,Periods of Permisson,Service,,,,,,,OPOC175(s)
OP91,Rehabilitation Care,,,02/22/10,Care & Rehabilitation Encounters,Service,,,,,,,OPOC81
OP3,Building Record Information Provided,,,02/22/10,Advisory Encounters,Service,,,,,,,
OP243,Tow Truck Licence,,,02/22/10,Periods of Permisson,Service,,,,,,,OPOC190
OP136,Heritage Incentive Grant,,,02/22/10,Funds,Service,,,,,,,
OP39,Mental Health Promotional Campaign,,,02/22/10,Advocacy & Promotional Encounter,Service,,,,,,,OPOC31(s)
OP162,Incident Mitigated,,,02/22/10,Interventions,Service,,,,,,,OPOC138(s)
OP65,Rabies Vaccination,,,02/22/10,Care & Rehabilitation Encounters,Service,,,,,,,OPOC55
OP217,Development Application Approved,,,02/22/10,Periods of Permisson,Service,,,,,,,OPOC176(s)
OP92,Election Officer Trained,,,02/22/10,Educational & Training Encounter,Service,,,,,,Election Officer Training,OPOC82
OP4,Building Regulation & Construction Advice,,,02/22/10,Advisory Encounters,Service,,,,,,,
OP244,Vital Rights Registered,,,02/22/10,Periods of Permisson,Service,,,,,,Vital Rights Registration,OPOC191
OP137,Income Support Payment,,,02/22/10,Funds,Service,,,,,,,OPOC118(s)
OP163,Murder Incident Intervened,,,02/22/10,Interventions,Service,,,,,,,OPOC139(s)
OP66,Respite care,,,02/22/10,Care & Rehabilitation Encounters,Service,,,,,,,OPOC56
OP218,Election Candidate Registered,,,02/22/10,Periods of Permisson,Service,,,,,,Election Candidate Registration,OPOC177
