"GUID","Sub-Services","Description","Name","To Date","From Date","Program Field","Source","Status","Programx","PROPOUx","Processes","Output","Program Field Type","Service Level Description","Service Type"
"SV1",,"A public service provided to vital rights registrants offering registration of a key life event (i.e. birth, death, marriage, etc.).","Vital Rights Registration",,02/22/10,,"KPMG","Active",,"SVOP1",,,,,"Public"
"SV1.1",,"A public service provided to the parents of new born children offering registration of the birth of their child and entitlement to services.","Birth Certification",,02/22/10,,"KPMG","Active",,"SVOP2",,,,,"Public"
"SV1.2",,"A public service provided to families of the deceased offering registration of the death of their family member and removal of entitlement to services.","Death Registration",,02/22/10,,"KPMG","Active",,"SVOP3",,,,,"Public"
"SV1.3",,"A public service provided to engaged couples wishing to register their marriage to each other.","Marriage Licensing",,02/22/10,,"KPMG","Active",,"SVOP4",,,,,"Public"
"SV2",,"A public service provided to families of the deceased offering the sale of a burial plot, burial of the deceased, and perpetual care of the burial site.","Cemetery Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV2.1",,"A public service provided to families of the deceased offering the sale of a burial plot, and burial of the deceased.","Burial ",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV2.2",,"A public service provided to families of the deceased that offering perpetual care of the burial site.","Perpetual Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV2.3",,"A public service provided to families of the deceased offering the sale of a cremation plot, and cremation of the deceased.","Cremation",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV3",,"A public service provided to election participants offering registration of voters and election candidates, polling station operations and election result posting.","Election Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV3.1",,"A public service provided to voters offering the right to vote in an election.","Voter Registration",,02/22/10,,"KPMG","Active",,"SVOP5",,,,,"Public"
"SV3.2",,"A public service provided to election candidates offering registration for an upcoming election ballot.","Election Candidate Registration",,02/22/10,,"KPMG","Active",,"SVOP6",,,,,"Public"
"SV3.3",,"A public service provided to voters offering a polling station to enter a vote for election candidates.","Polling Station Operations",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV3.4",,"An internal service provided to election officers offering training in how to support voters during an election.","Election Officer Training",,02/22/10,,"KPMG","Active",,"SVOP7",,,,,"Internal"
"SV3.5",,"A public service provided to the general public offering notification of election results.","Election Result Posting",,02/22/10,,"KPMG","Active",,"SVOP8",,,,,"Public"
"SV4",,"An internal service provided to the corporation offering policies for designating the purpose and general nature for which land may be used.","Land Use Planning",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV4.1",,"An internal service provided to the corporation offering design of urban spaces, including streetscapes, public realms and pedestrian spaces around new developments to attract pedestrian traffic.","Urban Design",,02/22/10,,"KPMG","Active",,"SVOP9",,,,,"Internal"
