"PG Tag","Requirement text","Name","Vision","Program Field Type","To Date","From Date","Source","Status","Type","Deprecated","Program Type","Unique ID","Traced-to","Traced-from"
"PG1","","Public Safety","","","","","","","","false","Public","2406","",""
"PG1.1","","Police Safety","","","","","","","","false","Public","2448","",""
"PG1.2","","Fire Safety","","","","","","","","false","Public","2449","PGSV68, PGSV97, PGSV98, PGSV99, PGSV100, PGSV101, PGSV102, PGSV103, PGSV104, PGSV105, PGSV106, PGSV107, PGSV108, PGSV109, PGSV110, PGSV111, PGSV112, PGSV113, PGSV114, PGSV115, PGSV116, PGSV117, PGSV118",""
"PG1.3","","Transportation Safety","","","","","","","","false","Public","2450","PGSV64, PGSV65, PGSV66, PGSV67",""
"PG1.4","","Construction Safety","","","","","","","","false","Public","2451","",""
"PG2","","Economic Development","","","","","","","","false","Public","2407","",""
"PG2.1","","Business Development","","","","","","","","false","Public","2416","PGSV55, PGSV56, PGSV57, PGSV58, PGSV59, PGSV60, PGSV61, PGSV62, PGSV63, PGSV69, PGSV70, PGSV71, PGSV72, PGSV73, PGSV74, PGSV75, PGSV76, PGSV77",""
"PG2.2","","Tourism","","","","","","","","false","Public","2417","PGSV78, PGSV79, PGSV80, PGSV81, PGSV82, PGSV83, PGSV84, PGSV85, PGSV86, PGSV87, PGSV88, PGSV89, PGSV90, PGSV91, PGSV92, PGSV93, PGSV94, PGSV95, PGSV96",""
"PG2.3","","Property Development","","","","","","","","false","Public","2418","",""
"PG3","","Social Development","","","","","","","","false","Public","2408","",""
"PG3.1","","Employment Development","","","","","","","","false","Public","2419","",""
"PG3.2","","Homeless Development","","","","","","","","false","Public","2420","",""
"PG4","","Education","","","","","","","","false","Public","2409","",""
"PG4.1","","Pre-School Education","","","","","","","","false","Public","2421","",""
"PG4.2","","Vocational Training","","","","","","","","false","Public","2422","",""
"PG4.3","","Lifestyle Education","","","","","","","","false","Public","2423","",""
"PG5","","Public Health","","","","","","","","false","Public","2410","",""
"PG5.1","","Prenatal Health","","","","","","","","false","Public","2424","",""
"PG5.2","","Child Health","","","","","","","","false","Public","2425","",""
"PG5.3","","Youth Health","","","","","","","","false","Public","2426","",""
"PG5.4","","Adult Health","","","","","","","","false","Public","2427","",""
"PG5.5","","Senior Health","","","","","","","","false","Public","2428","",""
"PG6","","Environmental Protection","","","","","","","","false","Public","2411","",""
"PG6.1","","Watershed Protection","","","","","","","","false","Public","2429","",""
"PG6.2","","Air Quality Protection","","","","","","","","false","Public","2430","",""
"PG6.3","","Soil Protection","","","","","","","","false","Public","2431","",""
"PG6.4","","Natural Resource Protection","","","","","","","","false","Public","2432","",""
"PG7","","Transportation","","","","","","","","false","Public","2412","",""
"PG7.1","","Vehicular Transportation","","","","","","","","false","Public","2433","",""
"PG7.2","","Pedestrian Transportation","","","","","","","","false","Public","2434","",""
"PG7.3","","Transit","","","","","","","","false","Public","2435","",""
"PG7.4","","Bicycle Transportation","","","","","","","","false","Public","2436","",""
"PG7.5","","Airline Transportation","","","","","","","","false","Public","2437","",""
"PG7.6","","Waterway Transportation","","","","","","","","false","Public","2438","",""
"PG8","","Leisure","","","","","","","","false","Public","2413","",""
"PG8.1","","Recreation","","","","","","","","false","Public","2439","",""
"PG8.2","","Passive Leisure","","","","","","","","false","Public","2440","",""
"PG9","","Culture","","","","","","","","false","Public","2414","",""
"PG9.1","","Arts","","","","","","","","false","Public","2441","",""
"PG9.2","","Heritage","","","","","","","","false","Public","2442","",""
"PG10","","Corporate","","","","","","","","false","Internal","2415","",""
"PG10.1","","Governance & Corporate Management","","","","","","","","false","Internal","2443","",""
"PG10.2","","Financial Management","","","","","","","","false","Internal","2444","",""
"PG10.3","","Human Resource Management","","","","","","","","false","Internal","2445","",""
"PG10.4","","Asset Management","","","","","","","","false","Internal","2446","",""
"PG10.5","","Information & Information Technology Management","","","","","","","","false","Internal","2447","",""
