"SV Tag","Requirement text","Name","To Date","From Date","Program Field","Source","Status","Traced-from","Traced-to","Unique ID","Program Field Type","Service Level Description","Deprecated","Service Type","RootTag#"
"SV1","A public service provided to vital rights registrants offering registration of a key life event (i.e. birth, death, marriage, etc.).","Vital Rights Registration","","2/22/2010","","KPMG","Active","","SVOP1","1802","","","false","Public","1"
"SV1.1","A public service provided to the parents of new born children offering registration of the birth of their child and entitlement to services.","Birth Certification","","2/22/2010","","KPMG","Active","","SVOP2, SVOU10","1901","","","false","Public","1"
"SV1.2","A public service provided to families of the deceased offering registration of the death of their family member and removal of entitlement to services.","Death Registration","","2/22/2010","","KPMG","Active","","SVOP3, SVOU11","1902","","","false","Public","1"
"SV1.3","A public service provided to engaged couples wishing to register their marriage to each other.","Marriage Licensing","","2/22/2010","","KPMG","Active","","SVOP4","1903","","","false","Public","1"
"SV2","A public service provided to families of the deceased offering the sale of a burial plot, burial of the deceased, and perpetual care of the burial site.","Cemetery Management","","2/22/2010","","KPMG","Active","","","1803","","","false","Public","2"
"SV2.1","A public service provided to families of the deceased offering the sale of a burial plot, and burial of the deceased.","Burial ","","2/22/2010","","KPMG","Active","","","1904","","","false","Public","2"
"SV2.2","A public service provided to families of the deceased that offering perpetual care of the burial site.","Perpetual Care","","2/22/2010","","KPMG","Active","","","1905","","","false","Public","2"
"SV2.3","A public service provided to families of the deceased offering the sale of a cremation plot, and cremation of the deceased.","Cremation","","2/22/2010","","KPMG","Active","","","1906","","","false","Public","2"
"SV3","A public service provided to election participants offering registration of voters and election candidates, polling station operations and election result posting.","Election Management","","2/22/2010","","KPMG","Active","","","1804","","","false","Public","3"
"SV3.1","A public service provided to voters offering the right to vote in an election.","Voter Registration","","2/22/2010","","KPMG","Active","","SVOP5","1907","","","false","Public","3"
"SV3.2","A public service provided to election candidates offering registration for an upcoming election ballot.","Election Candidate Registration","","2/22/2010","","KPMG","Active","","SVOP6","1908","","","false","Public","3"
"SV3.3","A public service provided to voters offering a polling station to enter a vote for election candidates.","Polling Station Operations","","2/22/2010","","KPMG","Active","","","1909","","","false","Public","3"
"SV3.4","An internal service provided to election officers offering training in how to support voters during an election.","Election Officer Training","","2/22/2010","","KPMG","Active","","SVOP7","1910","","","false","Internal","3"
"SV3.5","A public service provided to the general public offering notification of election results.","Election Result Posting","","2/22/2010","","KPMG","Active","","SVOP8","1911","","","false","Public","3"
"SV4","An internal service provided to the corporation offering policies for designating the purpose and general nature for which land may be used.","Land Use Planning","","2/22/2010","","KPMG","Active","","","1805","","","false","Internal","4"
"SV4.1","An internal service provided to the corporation offering design of urban spaces, including streetscapes, public realms and pedestrian spaces around new developments to attract pedestrian traffic.","Urban Design","","2/22/2010","","KPMG","Active","","SVOP9","1912","","","false","Internal","4"
"SV4.2","An internal service provided to the corporation offering an Official Plan policy for designating the purpose and general nature for which land may be used.","Official Plan Development","","2/22/2010","","KPMG","Active","","","1913","","","false","Internal","4"
"SV4.3","An internal service provided to the corporation offering a Zoning By-Law policy for designating the purpose and general nature for which land may be used.","Zoning By-Law Development","","2/22/2010","","KPMG","Active","","","1914","","","false","Internal","4"
"SV4.4","An internal service provided to the corporation in partnership with or collaboration with other government organizations offering cohesion and innovation in land use planning matters.","Inter-governmental Land Use Planning Coordination","","2/22/2010","","KPMG","Active","","","1915","","","false","Internal","4"
"SV4.5","An internal service provided to the corporation and heritage property owners offering listing and/or designation of their properties as heritage sites.","Heritage Listing and Designation","","2/22/2010","","KPMG","Active","","","1916","","","false","Internal","4"
"SV4.6","An internal service provided to the corporation offering research and insight into the trends in the economy, demographics, and other municipal characteristics to aid in improved land use planning and policy development.","Socio-Economic Surveying & Monitoring","","2/22/2010","","KPMG","Active","","","1917","","","false","Internal","4"
"SV5","A public service provided to violators of Property Standards By-laws offering compliance with applicable municipal regulations","Property Standards By-Law Enforcement","","2/22/2010","","KPMG","Active","","SVOP10","1806","","","false","Public","5"
"SV5.1","A public service provided to violators of the Noise By-law offering compliance with applicable municipal regulations","Noise By-Law Enforcement","","2/22/2010","","KPMG","Active","","SVOP11","1918","","","false","Public","5"
"SV5.2","A public service provided to violators of the Noise By-law offering compliance with applicable municipal regulations","Waste & Waste Collection By-Law Enforcement","","2/22/2010","","KPMG","Active","","","1919","","","false","Public","5"
"SV5.3","A public service provided to violators of the Litter & Dumping By-law offering compliance with applicable municipal regulations","Litter & Dumping By-Law Enforcement","","2/22/2010","","KPMG","Active","","SVOP12","1920","","","false","Public","5"
"SV5.4","A public service provided to violators of the Graffiti By-law offering compliance with applicable municipal regulations","Graffiti By-Law Enforcement","","2/22/2010","","KPMG","Active","","SVOP13","1921","","","false","Public","5"
"SV5.5","A public service provided to violators of the Grass & Weed By-law offering compliance with applicable municipal regulations","Grass & Weed By-Law Enforcement","","2/22/2010","","KPMG","Active","","SVOP14","1922","","","false","Public","5"
"SV5.6","A public service provided to violators of the Fence By-law offering compliance with applicable municipal regulations","Fence By-Law Enforcement","","2/22/2010","","KPMG","Active","","SVOP15","1923","","","false","Public","5"
"SV5.7","A public service provided to violators of the Sign By-law offering compliance with applicable municipal regulations","Sign By-Law Enforcement","","2/22/2010","","KPMG","Active","","","1924","","","false","Public","5"
"SV5.8","A public service provided to violators of the Zoning By-law offering compliance with applicable municipal regulations","Zoning By-Law Enforcement","","2/22/2010","","KPMG","Active","","","1925","","","false","Public","5"
"SV5.9","A public service provided to violators of the Fireworks By-law offering compliance with applicable municipal regulations","Fireworks By-Law Enforcement","","2/22/2010","","KPMG","Active","","SVOP16","1926","","","false","Public","5"
"SV5.10","A public service provided to violators of the Right-of-Way By-law offering compliance with applicable municipal regulations","Right-of-Way By-Law Enforcement","","2/22/2010","","KPMG","Active","","","1927","","","false","Public","5"
"SV5.11","A public service provided to violators of the Mobile Home By-law offering compliance with applicable municipal regulations","Mobile Home By-Law Enforcement","","2/22/2010","","KPMG","Active","","","1928","","","false","Public","5"
"SV6","A public service provided to property owners and developers offering compliance with applicable planning and development regulations and guidelines prior to applying for a Building Permit.","Development Approval","","2/22/2010","","KPMG","Active","PGSV55","","1807","","","false","Public","6"
"SV6.1","A public service provided to property owners and developers offering Zoning By-Law compliance prior to applying for a Building Permit.","Rezoning Approval","","2/22/2010","","KPMG","Active","PGSV56","","1929","","","false","Public","6"
"SV6.2","A public service provided to property owners and developers offering Official Plan compliance prior to applying for a Building Permit.","Official Plan Amendment Approval","","2/22/2010","","KPMG","Active","PGSV57","","1930","","","false","Public","6"
"SV6.3","A public service provided to property owners and developers offering Site Plan Control compliance prior to applying for a Building Permit.","Site Plan Control Approval","","2/22/2010","","KPMG","Active","PGSV58","","1931","","","false","Public","6"
"SV6.4","A public service provided to property owners and developers offering Subdivision compliance prior to applying for a Building Permit.","Subdivision Approval","","2/22/2010","","KPMG","Active","PGSV59","","1932","","","false","Public","6"
