Name,"Is Instance", "Instance Of"
"MRM Program Field Type", F,
"Administrative Services", T, "MRM Program Field Type"
"Communications Management Services", T, "MRM Program Field Type"
"Corporate Policy, Planning and Management Services", T, "MRM Program Field Type"
"Cultural Development", T, "MRM Program Field Type"
"Educational Development", T, "MRM Program Field Type"
"Environmental Protection", T, "MRM Program Field Type"
"Facilities and Assets Management Services", T, "MRM Program Field Type"
"Financial Management Services", T, "MRM Program Field Type"
"Human Resources Management Services", T, "MRM Program Field Type"
"Information Management & Technology Services", T, "MRM Program Field Type"
"Integrated Delivery Services", T, "MRM Program Field Type"
"Justice", T, "MRM Program Field Type"
"Legal, Collective, Democratic & Human Rights Protection", T, "MRM Program Field Type"
"National Security & Defense", T, "MRM Program Field Type"
"Natural Resources Development", T, "MRM Program Field Type"
"Professional Services", T, "MRM Program Field Type"
"Public Health", T, "MRM Program Field Type"
"Public Policy, Planning and Management Services", T, "MRM Program Field Type"
"Public Safety", T, "MRM Program Field Type"
"Science and Knowledge Development", T, "MRM Program Field Type"
"Social Development", T, "MRM Program Field Type"
"Socio-Economic Development", T, "MRM Program Field Type"
"Supply Chain Management Services", T, "MRM Program Field Type"
