Name,"Is Instance", "Instance Of"
"MRM Project Type", F,
"Activity Based Costing", T, "MRM Project Type"
"Alternative Service Delivery Review", T, "MRM Project Type"
"Application Design / Development", T, "MRM Project Type"
"Application Portfolio Rationalization", T, "MRM Project Type"
"Business Intelligence Design", T, "MRM Project Type"
"Chart of Accounts Design", T, "MRM Project Type"
"Communication Plan Development", T, "MRM Project Type"
"COTS Procurement", T, "MRM Project Type", T, "MRM Project Type"
"Council / Committee Governance Review / Design", T, "MRM Project Type"
"Customer Satisfaction Survey", T, "MRM Project Type"
"Employee Performance Plan Development", T, "MRM Project Type"
"Enterprise Architecture Development", T, "MRM Project Type"
"Information Management Program Design", T, "MRM Project Type"
"Information Technology Strategic Planning", T, "MRM Project Type"
"Management Auditing", T, "MRM Project Type"
"Multi-Channel Service Delivery", T, "MRM Project Type"
"Multi-Jurisdictional Service Delivery", T, "MRM Project Type"
"Organizational Design & Restructuring", T, "MRM Project Type"
"Performance Benchmarking", T, "MRM Project Type"
"Performance Measurement Design and Implementation", T, "MRM Project Type"
"Policy and Needs Analysis", T, "MRM Project Type"
"Position / Job Description Definition", T, "MRM Project Type"
"Process Mapping", T, "MRM Project Type"
"Process Re-engineering", T, "MRM Project Type"
"Program and Service Based Budgeting", T, "MRM Project Type"
"Program Design", T, "MRM Project Type"
"Program Review", T, "MRM Project Type"
"Quality Control Certification", T, "MRM Project Type"
"Records and Information Collection Design", T, "MRM Project Type"
"Role and Responsibility Mapping", T, "MRM Project Type"
"Service Design", T, "MRM Project Type"
"Service Integration", T, "MRM Project Type"
"Service Level Agreement Development", T, "MRM Project Type"
"Service Level Review", T, "MRM Project Type"
"Service Planning", T, "MRM Project Type"
"Service Review", T, "MRM Project Type"
"Software Requirements Definition", T, "MRM Project Type"
"Staff Training and Development", T, "MRM Project Type"
"Strategic Plan Development", T, "MRM Project Type"
"Transformation Portfolio Management", T, "MRM Project Type"
"Web Site / Portal Design / Redesign", T, "MRM Project Type"
