Name,Description,Output Type,Service Output Type,Volume Count - Planned,Volume Count - Actual,Volume Period Start,Volume Period End,Status,Source,From Date,To Date,Service,Process,Service Values,Sub-Outputs,Reference Documents,Initial Date,Last Change Date,Initial Time,Last Change Time,Initial Audit,Last Change Audit,GUID
Accessible Information (organized information),,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP1
Account Paid (in good standing),,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP125
Account Payment Received,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP126
Accounted for Transaction,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:29 AM,10:43:29 AM,jra,jra,OP127
Adult Day Advanced Personal Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP46
Adult Day Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP47
Adult Day Care Advice,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP48
Adult Day Care Case Managed,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP49
Adult Day Meal Provided,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP50
Adult Day Medication Monitored,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP51
Adult Day Personal Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP52
Adult Day Pyscho-social Consultation,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP53
Adult Day Recreational Activity,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP54
Adult Day Rehabilitation Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP55
Affordable Housing Grant / Subsidy,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP128
Alteration Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP203
Animal Controlled,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP166
Arts & Cultural Advice (Imparted),,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP2
Arts and Cultural Lesson (imparted),,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP95
Asset Commissioned,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP129
Assisted Housing Accommodation (period of),,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP204
Audit Recommendation,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP110
Birth Certificate Issued,,Service,Periods of Permisson,,,,,Active,,,,"""Birth Certification""",,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP205
Brownfield Redevelopment Incentive Grant,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP130
Building Inspected (in compliance),,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP180
Building Permit Fees / Charges Waived,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP131
Building Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP206
Building Record Information Provided,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP3
Building Regulation & Construction Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP4
Building Regulation Compliance Letter,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP5
Burglary Incident Intervened,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP167
Business Advice Imparted,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP6
Business Consulted,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP7
Business Improvement Area Supported,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP8
Business Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP207
Business Market Researched,,Service,New Knowledge,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP179
Business Solution Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP9
Call Taken and Resources Dispatched,,Service,"Matches, Referrals & Linkages",,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP174
Capital Budget Approved,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP143
Cash (available for paying financial obligations),,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP144
Change of Use Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:29 AM,10:43:29 AM,jra,jra,OP208
Charitable Gaming Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP209
Child / Youth Escorted Across Street (in School Zones),,Service,Movements,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:37 AM,jra,jra,OP178
Child / Youth Health Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP10
Child / Youth Health Education Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP96
Child / Youth Health Promotional Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP32
Child Care Centre Subsidy Payment,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP145
Child Immunized,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:29 AM,10:43:29 AM,jra,jra,OP56
Chronic Disease Lifestyle Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP11
Chronic Disease Lifestyle Education,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP97
Chronic Disease Personal Health Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP33
Chronic Disease Prevention Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP34
Civic Address Assigned,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP210
Clothing Drop Box Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP211
Committee of Adjustment Minor Variance Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP212
Community Improvement Plan Grant,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP132
Community Partnership Agreement,,Service,Periods of Agreement,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP200
Compensated Employee,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP146
Compliance Audit Recommendation,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP119
Condominium Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP213
Construction Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP214
Contract / Agreement Executed (managed),,Service,Periods of Agreement,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP201
Courtroom Secured,,Service,Periods of Protection,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP248
Crime Investigated (and solved),,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP111
Crime Prevention Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP98
Crisis and outreach intervention,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP159
Death Certificate Issued,,Service,Periods of Permisson,,,,,Active,,,,"""Death Registration""",,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP215
Demolition Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP216
Dental Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP57
Development Application Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP217
Disease Controlled,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP58
Early Childhood Professional Wage Subsidy,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP147
Election Candidate Registered,,Service,Periods of Permisson,,,,,Active,,,,"""Election Candidate Registration""",,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP218
Election Conducted and Results Posted,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP219
Election Officer Trained,,Service,Educational & Training Encounter,,,,,Active,,,,"""Election Officer Training""",,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP92
Election Result Posted,,Service,Advisory Encounters,,,,,Active,,,,"""Election Result Posting""",,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP12
Electrical upgrade loan,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP148
Emergency / Disaster Mitigated,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP160
Employee Advised (productive employee),,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP28
Employee Criminal Record Checked,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP112
Employee Security / Criminal Record Checked,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP113
Employee Security Record Checked,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP114
Employment Support / Referral,,Service,"Matches, Referrals & Linkages",,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP168
Energy conservation advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP29
Energy Conserved,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP13
Environmental Assessment,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP120
Extinguished Fires,,,,,,,,Active,,,,,,,,,10/29/10,11/4/10,5:15:00 PM,5:21:30 PM,jra,jra,ca7e7bcc-ad3d-48c7-8e91-4a030efff0bc
Fence By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,"""Fence By-Law Enforcement""",,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP181
