Name,Description,"Process Type",Status,Source,"Process Level Type","From Date","To Date",Service,Resources,"Responsible Parties",Output,Impacts,KPIs,Projects,Sub-Processes,"Reference Documents","Initial Date","Last Change Date","Initial Time","Last Change Time","Initial Audit","Last Change Audit",GUID
"Account for Dispute Resolution activity costs",,Delivering,Active,,,2/22/2010,,,,,,,,,,,10/28/2010,10/28/2010,"10:44:06 AM","10:44:06 AM",jra,jra,PR79
"Account for Fire Rescue activity costs",,Delivering,Active,,,2/22/2010,,"""Fire Rescue""",,,,,,,,,10/28/2010,10/28/2010,"10:44:06 AM","10:44:06 AM",jra,jra,PR36
"Acknowledge receipt of Fire Rescue profile",,Delivering,Active,,,2/22/2010,,"""Fire Rescue""",,,,,,,,,10/28/2010,10/28/2010,"10:44:07 AM","10:44:07 AM",jra,jra,PR17
"Acquire Dispute Resolution activity resources",,"""Capacity Building""",Active,,,2/22/2010,,,,,,,,,,,10/28/2010,10/28/2010,"10:44:02 AM","10:44:02 AM",jra,jra,PR70
"Acquire Fire Rescue activity resources",,"""Capacity Building""",Active,,,2/22/2010,,"""Fire Rescue""",,,,,,,,,10/28/2010,10/28/2010,"10:44:08 AM","10:44:08 AM",jra,jra,PR6
"Acquire Fire Safety Education activity resources",,"""Capacity Building""",Active,,,2/22/2010,,"""Fire Safety Education""",,,,,,,,,10/28/2010,10/28/2010,"10:44:03 AM","10:44:03 AM",jra,jra,PR48
"Assess Fire Rescue to determine response and resource requirements"," (size up)",Delivering,Active,,,2/22/2010,,"""Fire Rescue""",,,,,,,,,10/28/2010,10/28/2010,"10:44:01 AM","10:44:01 AM",jra,jra,PR22
"Assign resources to sectors and sectors to tactics",,Delivering,Active,,,2/22/2010,,"""Fire Rescue""",,,,,,,,,10/28/2010,10/28/2010,"10:44:01 AM","10:44:01 AM",jra,jra,PR24
"Conduct Hearing ( includes tape transcript of proceeding )",,Delivering,Active,,,2/22/2010,,,,,,,,,,,10/28/2010,10/28/2010,"10:44:04 AM","10:44:04 AM",jra,jra,PR75
"Confirm arrival at scene of Fire Rescue",,Delivering,Active,,,2/22/2010,,"""Fire Rescue""",,,,,,,,,10/28/2010,10/28/2010,"10:44:00 AM","10:44:00 AM",jra,jra,PR19
"Decommission Dispute Resolution activity",,Decommissioning,Active,,,2/22/2010,,,,,,,,,,,10/28/2010,10/28/2010,"10:44:00 AM","10:44:00 AM",jra,jra,PR85
"Decommission Fire Rescue activity",,Decommissioning,Active,,,2/22/2010,,"""Fire Rescue""",,,,,,,,,10/28/2010,10/28/2010,"10:44:00 AM","10:44:00 AM",jra,jra,PR42
